Date,Name,Value LockedTVL,% / 7 days,Market share,Purpose,Technology,Source,Timestamp
2021-08-03,Loopring,$125.4M,+21.27%,29.73%,"Payments, Exchange",ZKR,L2BEAT,2021-08-03 19:37:24
2021-08-03,Nahmii 1.0,$99.6M,-1.49%,23.62%,Payments,STP,L2BEAT,2021-08-03 19:37:24
2021-08-03,Optimism,$83.1M,+5.06%,19.70%,Universal,ORU,L2BEAT,2021-08-03 19:37:24
2021-08-03,dYdX,$48.9M,+2.21%,11.60%,Exchange,ZKR,L2BEAT,2021-08-03 19:37:24
2021-08-03,DeversiFi,$25M,+13.01%,5.92%,Exchange,VAL,L2BEAT,2021-08-03 19:37:24
2021-08-03,ZKSwap,$11.7M,-75.24%,2.78%,"Payments, Exchange",VAL,L2BEAT,2021-08-03 19:37:24
2021-08-03,zkSync,$9.9M,+15.87%,2.35%,Payments,ZKR,L2BEAT,2021-08-03 19:37:24
2021-08-03,Sorare,$7.2M,+45.23%,1.72%,"NFT, Exchange",VAL,L2BEAT,2021-08-03 19:37:24
2021-08-03,LeverJ,$3.1M,+9.05%,0.73%,Exchange,PLA,L2BEAT,2021-08-03 19:37:24
2021-08-03,OMG Network,$3.1M,+0.27%,0.73%,Payments,PLA,L2BEAT,2021-08-03 19:37:24
2021-08-03,Habitat,$1.7M,-18.89%,0.40%,"DAO, Treasury",ORU,L2BEAT,2021-08-03 19:37:24
2021-08-03,ImmutableX,$1.1M,+25.24%,0.27%,"NFT, Exchange",VAL,L2BEAT,2021-08-03 19:37:24
2021-08-03,Aztec,$750.8K,+14.86%,0.18%,Private payments,ZKR,L2BEAT,2021-08-03 19:37:24
2021-08-03,Hermez,$587.9K,+9.51%,0.14%,Payments,ZKR,L2BEAT,2021-08-03 19:37:24
2021-08-03,Arbitrum,$341.3K,+25.03%,0.08%,Universal,ORU,L2BEAT,2021-08-03 19:37:24
2021-08-03,Layer2.Finance,$254.6K,+0.56%,0.06%,DeFi aggregation,ORU,L2BEAT,2021-08-03 19:37:24
2021-08-03,Fuel,$4.2,+0.00%,0.00%,Payments,ORU,L2BEAT,2021-08-03 19:37:24
