Date,Name,Value LockedTVL,7 days change% / 7 days,Market share,Purpose,TechnologyTech,Source,Timestamp
2021-09-15,Arbitrum,2300000000.0,+2561.12%,73.06%,Universal,Optimistic Rollup,L2BEAT,2021-09-15 16:49:25
2021-09-15,dYdX,343700000.0,+19.70%,10.77%,Exchange,ZK Rollup,L2BEAT,2021-09-15 16:49:25
2021-09-15,Optimism,20900000.0,+49.96%,6.55%,Universal,Optimistic Rollup,L2BEAT,2021-09-15 16:49:25
2021-09-15,Loopring,134900000.0,+9.55%,4.23%,"Payments, Exchange",ZK Rollup,L2BEAT,2021-09-15 16:49:25
2021-09-15,ZKSwap V2,77400000.0,-0.62%,2.42%,"Payments, Exchange",ZK Rollup,L2BEAT,2021-09-15 16:49:25
2021-09-15,DeversiFi,43800000.0,+2.58%,1.37%,Exchange,Validium,L2BEAT,2021-09-15 16:49:25
2021-09-15,zkSync,1400000.0,+7.24%,0.44%,Payments,ZK Rollup,L2BEAT,2021-09-15 16:49:25
2021-09-15,Sorare,13400000.0,+40.48%,0.42%,"NFT, Exchange",Validium,L2BEAT,2021-09-15 16:49:25
2021-09-15,ZKSwap,10100000.0,-1.88%,0.32%,"Payments, Exchange",ZK Rollup,L2BEAT,2021-09-15 16:49:25
2021-09-15,Habitat,3800000.0,+36.60%,0.12%,"DAO, Treasury",Optimistic Rollup,L2BEAT,2021-09-15 16:49:25
2021-09-15,ImmutableX,3300000.0,+30.32%,0.10%,"NFT, Exchange",Validium,L2BEAT,2021-09-15 16:49:25
2021-09-15,OMG Network,3100000.0,+0.10%,0.10%,Payments,Plasma,L2BEAT,2021-09-15 16:49:25
2021-09-15,LeverJ,1500000.0,+2.59%,0.05%,Exchange,Plasma,L2BEAT,2021-09-15 16:49:25
2021-09-15,Aztec,1100000.0,+2.84%,0.04%,Private payments,ZK Rollup,L2BEAT,2021-09-15 16:49:25
2021-09-15,Polygon Hermez,314700.0,-38.51%,0.01%,Payments,ZK Rollup,L2BEAT,2021-09-15 16:49:25
2021-09-15,Layer2.Finance,253300.0,+0.00%,0.01%,DeFi aggregation,Optimistic Rollup,L2BEAT,2021-09-15 16:49:25
2021-09-15,Fuel,69.0,+0.00%,0.00%,Payments,Optimistic Rollup,L2BEAT,2021-09-15 16:49:25
